Condition,Frequencies (Hz)
"Borreliosis,Joints","338, 344, 345, 432, 533, 534, 605, 673, 732, 758, 797, 800, 884, 1455, 4200, 6863, 6870"
Botrytis Cinerea,1132
"Botrytis Cinerea,Lung","1132, 212"
Botrytis Cinerea,1132
Botrytis Cinerea,"212, 1132, 1545"
"Botrytis,Lung",1545
Botulinum,"172, 518, 533, 639, 683, 691, 1372"
Botulinum,518
Botulism,"20, 320"
Botulism,"172, 518, 533, 639, 660, 683, 690, 691, 802, 831, 1372, 1550, 1552, 10000"
Bowen's Disease,"10, 120"
Bowen's Disease,"40, 120"
Brachial Plexus Neuritis,"150, 570"
Bradycardia,"240, 700, 2750"
Brain Abscess,"10, 50, 7500"
Brain Abscess,"40, 50, 7500"
Brain Beta Stimulate,22
Brain Cell Energize,5000
Brain Concussion,"10, 200, 650"
Brain Concussion,"40, 200, 650"
Brain Diseases,"10, 200, 650"
Brain Diseases,"40, 200, 650"
Brain Fungus,2608
Brain Fungus,"469, 633, 855"
Brain Ischemia,"10, 20, 650"
Brain Ischemia,"40, 20, 650"
Brain Tumor,"543, 641, 666, 690, 853, 857, 880, 2127, 2170"
Brain Tumor Astrocytoma,857
Branched-Chain Ketoaciduria,"30, 500, 870"
Branchio-Oto-Renal Syndrome,"150, 490, 620, 800, 5110"
Branhamella Catarrhalis,2013
Branhamella Catarrhalis,579
"Branhamella Moraxella Catarrhalis,Respiratory","579, 581, 687, 770, 772, 775, 778, 2013"
Breakbone Fever,"148, 149, 206, 211, 216, 423, 846, 1194, 1195, 1196, 1692, 3383, 3389"
Breast Cancer,"20, 460, 5120"
Breast Cyst,"80, 240"
Breast Diseases,"80, 240"
Breast Fibroid Cysts,"666, 690, 727, 776, 787, 802, 880, 1550"
"Breast Fibroid Cysts,Breast","267, 666, 690, 727, 776, 787, 802, 880, 1384, 1550"
Breast Fibromatosis,"267, 666, 690, 727, 776, 787, 802, 880, 1384, 1550"
Breast Fibromatosis,267
Breast Inflammation,"654, 698"
Breast Neoplasms Male,"20, 850, 5690"
Breast Neoplasms,"20, 800, 5690"
Breast Sore Nipples,"727, 787, 880, 5000"
Breast Tumors,"727, 787, 880, 2008, 2127, 5000"
Breathe Easier,"1234, 3672, 7344"
Breathing Deep,"1234, 3702, 3672, 7344"
Breathing Difficulty (Dyspnea),100
Breathing,"727, 787, 880, 5000"
Bright's Syndrome,"727, 787, 880, 1500"
"Bright's Syndrome,Kidney","10, 20, 274, 423, 465, 636, 688, 727, 880, 1550, 3000, 10000"
Bronchial Asthma,"20, 72, 95, 125, 146, 444, 522"
Bronchial Asthma,"47, 120, 727, 787, 880, 1234, 3672, 7346, 10000"
"Bronchial Asthma,Lung","20, 72, 444, 522, 727, 787, 810, 880, 1233, 1500, 1600, 1800, 2170, 2720"
Bronchial Diseases,"10, 370, 830, 2500, 3000"
Bronchial Diseases,"40, 370, 830, 2500, 3000"
Bronchial Pneumonia,"452, 550, 578, 727, 776, 787, 802, 880, 1474, 1550"
Bronchial Pneumonia,"727, 776, 787, 802, 880, 1550"
"Bronchial Pneumonia,Lung","452, 550, 578, 727, 776, 787, 802, 880, 1474"
Bronchiectasis,342
"Bronchiectasis,Lung","342, 510, 778"
Bronchiectasis,"30, 400, 830"
Bronchiectasis,342
Bronchiectasis,"342, 344, 510, 778, 943"
Bronchiolitis,"50, 400, 830, 2500, 3000"
Bronchitis,"727, 880"
Bronchitis,"20, 72, 333, 344, 452, 464, 510, 514, 523, 660, 683, 690, 743, 768, 786, 880, 943, 1234, 3672"
Bronchitis Secondary,"688, 766, 776"
"Bronchitis,Lung","20, 72, 333, 452, 464, 683, 727, 743, 880, 1234, 3672, 7344"
Bronchitis,"10, 370, 830, 2500"
Bronchitis,"40, 370, 830, 2500"
"Broncho Pneumonia Borinum,Lung","452, 550, 578, 727, 776, 787, 802, 880, 1474"
Bronchopneumonia Borinum,"452, 1474"
Bronchopulmonary Dysplasia,"40, 230, 950, 7500"
Brown Recluse Spider,"724, 884, 1830, 3260"
Brown Recluse Spider,"724, 884, 1830, 3260"
Brown Recluse Spider,724
Brown Sequard Syndrome,"500, 680"
Brucella Abort Bang,1423
Brucella Melitensis,748
Brucella Melitensis,"643, 695, 748"
Brucellosis,50
"Bruises,Skin","110, 10000"
Bruises,"727, 787, 880, 10000"
Bruxism,"80, 320"
Bubonic Plague,"20, 210, 216, 333, 500, 523, 660, 690, 768, 786, 787, 880"
Bubonic Plague,585
"Bubonic Plague Secondary Infections,Lymph","20, 727, 787, 880"
Bubonic Plague Yersinia Pestis,"210 ,216, 333, 500"
Bubonic Plague,500
Budd-Chiari Syndrome,"50, 240"
Bulbar Palsy Progressive,"70, 220, 620, 2500, 5500"
Bulbospinal Neuropathy,"190, 1220, 4330"
Bulla,"110, 550, 1230, 5580"
"Bunion Pain,Toe",20
Bunions,"20, 2720, 10000"
Bunyaviridae Infections,"260, 650, 5120, 7000"
Burkholderia Infections,"70, 120, 750, 930"
Burkitt Lymphoma,"50, 570, 850"
Burning Mouth Syndrome,"40, 410"
Burns,"190, 200, 465, 727, 787, 880, 10000"
Burns,"60, 250, 5000, 7000"
Bursitis,"660, 690, 787, 880, 10000"
"Bursitis,Muscle","727, 787, 880"
Bursitis,"60, 230"
BX Virus,"1604, 2008, 2128, 2790, 2876, 3713"
BX Virus,"334, 1675, 2008, 2127, 2127, 2128, 2385, 2521, 2655, 2663, 3324, 5013, 5020, 5575, 7356, 8020, 8610"
BX Virus,"2128, 3713"
BY Human to Human Contact,334
BY Virus,"2008, 2128, 3524"
BY Virus,"2008, 3524"
Caeliacia,674
Cafe-au-Lait Spots,"520, 600, 2250"
Caffey-De Toni-Silverman Syndrome,"120, 250, 700, 1070, 2750"
Calcifications,326
Calcium Metabolism Improve,"326, 328, 771, 10000"
Calcium Metabolism,328
Calcium on Heart Valve,6004
Calcium Uptake Reduce,16
Caliciviridae Infections,"60, 490, 570, 7500, 2500"
Calming,"10, 80, 304, 6000"
Calming,6000
Campylobacter,"333, 378, 523, 732, 733, 768, 786, 1633, 1834, 2222"
Campylobacter,"333, 378, 523, 732, 768, 786, 1633, 1834, 2222"
Campylobacter Fetus Smear,3600
Campylobacter Infections,"130, 350"
Campylobacter Pyloridis,"885, 4"
Campylobacter Pyloridis,3600
"Campylobacter,Indigestion","378, 733, 1834, 2222"
Canavan Disease,"20, 970, 5690"
Cancer Healing,"568, 1538, 1829, 2726, 3445, 6149"
Cancer,"339, 440, 448, 463, 468, 574, 590, 666, 668, 676, 697, 732, 737, 770, 786"
Cancer,"854, 866, 1556, 1662, 1862, 2127, 2180, 2182, 2184, 2452, 2489, 4445, 5476, 6064, 6668"
Cancer Additional Frequencies,"20, 440, 618, 663, 778, 1050, 1550, 2180, 3672"
Cancer Additional Frequencies,"2180, 2182, 2184"
"Cancer Adenocarcinoma Esophageal,Throat","47, 832, 2084, 2127, 2160, 2182, 2219, 2452, 2876"
Cancer Adenocarcinoma Esophageal,"47, 832, 2084, 2127, 2128, 2160, 2219, 2452, 2876"
"Cancer Adenoma,Organ Linings",433
Cancer All Tumors,"727, 728, 2008, 2128"
Cancer Astrocytoma,857
"Cancer Astrocytoma,Brain","543, 641, 666, 690, 857, 880, 2127, 2170"
Cancer Basal Cell Skin Carcinoma,"1800, 2280"
Cancer Basic,"666, 690, 727, 1250, 2008, 2127, 2128"
Cancer Basic,"666, 690, 727, 900, 1250, 2008, 2127, 2128"
Cancer Basic,900
Cancer Basic,"440, 663, 778, 900, 1050, 1550, 2180, 3672"
Cancer Basic,"663, 727, 778, 787, 880, 900, 1050, 1550, 2008, 2050, 2127"
Cancer Basic A,"663, 727, 778, 787, 802, 880, 900, 1050, 1550, 2008, 2050, 2127, 3022, 5122"
Cancer Bladder,"329, 9889"
Cancer Bladder TBC,"360, 642, 724, 726, 771"
Cancer Bladder,"329, 635, 847, 9889"
Cancer Bladder,"80, 5750, 7250"
Cancer Bladder,"80, 5750, 7250"
Cancer Blood Multiple Myeloma,728
Cancer Bone,"570, 830, 2850"
Cancer Bone,"570, 830, 2850"
Cancer Bone,"2008, 2125, 2128, 2131, 2140, 2145, 3524, 3672, 3713, 6130, 6601, 6672"
Cancer Brain Tumor,"10, 20, 30, 5030"
Cancer Brain Tumor,"20, 30, 40, 5030"
Cancer Breast,"127, 304, 478, 656, 982, 1582, 2120, 2134, 9000, 9999"
Cancer Breast,"33, 1131, 2128, 3360"
Cancer Breast,"127, 304, 478, 656, 982, 1582, 2120, 2134, 9000, 9999"
Cancer Breast,"20, 460, 5120"
Cancer Bronchial,"462, 852, 1582"
Cancer BX Carcinoma Virus,"55, 127, 462, 590, 660, 690, 787, 852, 856, 880, 1582, 1755, 2008, 2008, 2120, 7275"
Cancer BX Carcinoma Virus,"2005, 2008"
Cancer BX Carcinoma Virus,"666, 690, 727, 787, 880, 2008, 2127"
Cancer BX Carcinoma Virus,"2127, 2128, 2876, 3713"
Cancer BX Virus,"600, 2008, 2128, 3713"
Cancer BY Sarcoma Virus,"1604, 2008, 2128, 2790, 2876, 3713"
Cancer BY Sarcoma Virus,"1604, 2008"
Cancer Carcinoid Tumor Gastrointestinal,"50, 520, 600, 930"
Cancer Carcinoma,"1570, 1820, 2008, 2128"
"Cancer Carcinoma Basal Cell Skin,Skin","760,1800, 2280, 2128, 2876"
"Cancer Carcinoma Bronchial,Lung","462, 776, 852, 1582, 2104, 2144, 2184, 3672"
"Cancer Carcinoma Colon,Colon",656
"Cancer Carcinoma Larynx,Voice Box","327, 524, 731, 1133"
"Cancer Carcinoma Liver ,Liver","393, 479, 520, 734, 3130"
Cancer Carcinoma Liver,"143, 238, 275, 334, 433, 477, 574, 676, 752, 763, 767, 779, 869, 876, 6641, 6672"
"Cancer Carcinoma Liver Fermentative,Liver",214
"Cancer Carcinoma Uterine Fermentative,Uterus",127
"Cancer Carcinoma,Various","727, 787, 880, 2008, 2120, 2127, 7130"
Cancer Cells Conidial Head,728
Cancer Cells,"6250, 440"
Cancer Cervical,"466, 907, 2288, 2880"
"Cancer Cervical,Uterus","466, 907"
Cancer Cervical,"10, 400, 780, 5290, 7500"
Cancer Cervical,"400, 780, 5290, 7500"
Cancer Colon,656
Cancer Conidia Head Cells,728
Cancer Digestive System,"30, 180, 930, 2500"
Cancer Digestive System,"30, 930, 2120, 2500"
Cancer Dro Glioma,853
Cancer Ear,"80, 120, 850"
Cancer Endocrine Gland,"140, 460, 750, 850"
Cancer Endometrium,"70, 180, 5690"
Cancer Endometrium,"70, 2120, 5690"
Cancer Esophageal,"50, 520, 600, 930"
Cancer Esophageal,"50, 520, 600, 930"
Cancer Ewing's PNET,"240, 700, 2750"
Cancer Experimental Additional Frequencies,"440, 663, 778, 1050, 1550, 2180, 3672"
Cancer Experimental Additional,"440, 663, 778, 1050, 1550, 2180, 3672"
Cancer Extracranial Germ Cell Tumor,"140, 750, 2500"
Cancer Extracranial Tumor,"140, 750, 2500"
Cancer Extrahepatic Bile Duct,"10, 370, 830, 2500"
Cancer Extrahepatic Bile Duct,"40, 370, 830, 2500"
Cancer Eye Cancer Intraocular Melanoma,"60, 230, 730"
Cancer Eye Cancer,"60, 230, 730"
Cancer Feline Cat,"424, 830, 901, 918"
Cancer Fibrosarcoma,1744
Cancer Fibrous Tumor Secondary,1340
Cancer Frequencies,"666, 690, 727, 787, 880, 2008, 2127"
Cancer Gallbladder,"80, 850, 2500"
Cancer Gastric,676
Cancer Genital Female,"30, 460"
Cancer Genital Male,"40, 550, 780"
Cancer Genital Neoplasms Female,"30, 460"
Cancer Genital Neoplasms Male,"10, 550, 780"
Cancer Germ Cell Tumor Extragonadal,"160, 550, 850, 7500"
Cancer Germ Cell,"160, 550, 850, 7500"
Cancer Gestational Trophoblastic Tumor,"250, 780, 930, 7500"
Cancer Gestational Tumor,"250, 780, 930, 7500"
"Cancer Glioblastoma Tremor,Brain","463, 466, 470"
"Cancer Glioblastoma,Brain","20, 543, 641, 664, 720, 728, 800, 832, 855, 857, 2008, 2128, 2180, 2182"
Cancer Gliomas,"543, 641"
"Cancer Gliomas,Brain","543, 641, 857"
Cancer Hairy Cell,"122, 622, 932, 1522, 5122"
Cancer Head and Neck,"100, 520, 7500"
Cancer Hypopharyngeal,"110, 1490"
Cancer Intestinal,"50, 520, 600, 930"
Cancer Intestinal,"15, 55, 2000"
Cancer Islet Cell Carcinoma,"130, 570, 780"
Cancer Kaposi's Sarcoma,"249, 418, 647"
Cancer Larynx,"30, 870, 2500"
Cancer Larynx,"327, 524, 731, 1133"
Cancer Larynx,"30, 870, 2500"
"Cancer Leukemia Feline,Blood","258, 332, 414, 424, 544, 741, 743, 830, 901, 918, 997"
"Cancer Leukemia Hairy Cell,Blood","122, 488, 622, 781, 932, 5122"
"Cancer Leukemia Lymphatic,Blood","478, 833"
"Cancer Leukemia T Cell,Blood","222, 262, 822, 3042, 3734"
Cancer Leukemia,"424, 830, 901, 918"
"Cancer Leukemia,Blood","666, 690, 727, 787, 880, 2008, 2127, 2217"
Cancer Leukemia,"70, 120, 600, 800, 2500"
Cancer Lip and Oral Cavity,"80, 570"
Cancer Liver Cancer,"110, 520"
Cancer Liver Carcinoma,"393, 479, 520, 734, 3130"
Cancer Liver Carcinoma,"143, 238, 275, 334, 433, 477, 574, 676, 752, 763, 767, 779, 869, 876, 6641, 6672"
Cancer Liver Carcinoma Fermentative,214
Cancer Liver,"214, 393, 479, 520, 734, 3130"
Cancer Lung Non-Small Cell,"50, 410, 620"
Cancer Lung,"462, 776, 852, 1582, 2104, 2144, 2184, 3672"
Cancer Lymphatic,"478, 833"
Cancer Lymphogranuloma Lymphoma,"552, 1522"
Cancer Lymphogranuloma Venereum Secondary,"430, 620, 624, 840, 866, 2213"
"Cancer Lymphogranuloma Venereum, Anus Rectum","430, 620, 624, 840, 866, 2213"
Cancer Lymphoma,"2116, 2180, 2182"
Cancer Lymphoma,"350, 930, 7500"
Cancer Lymphoma B-Cell,"120, 410, 930, 2750"
Cancer Lymphoma Non-Hodgkin's,"120, 350, 930"
Cancer Lymphoma Non-Hodgkin's,"350, 930"
Cancer Lymphoma,"120, 350, 930, 7500"
"Cancer Lymphosarcoma, Blood Dogs",482
Cancer Malignant Mesothelioma,"40, 490, 780, 7500, 8000"
Cancer Malignant Mesothelioma,"490, 780, 7500, 8000"
"Cancer Melanoma Metastasis,Skin",979
Cancer Melanoma,"70, 490, 700"
Cancer Melanoma,"490, 700"
Cancer Merkel Cell Carcinoma,"190, 520, 680, 800, 2500, 5170"
Cancer Merkel Cell,"80, 120, 850, 5160"
Cancer Metastatic Squamous Neck,"100, 520, 7500"
Cancer Mouth,"80, 570"
Cancer Mouth,570
Cancer Multiple Myeloma,"60, 350, 620, 970"
Cancer Multiple Myeloma/Plasma Cell Neoplasms,"60, 350, 620, 970"
Cancer Mycosis Fungoides,852
Cancer Mycosis Fungoides,"170, 220, 930, 2750"
Cancer Myelodysplastic Syndrome,"190, 300, 800, 7500"
Cancer Myeloid,"422, 822"
Cancer Myeloproliferative Disorders,"50, 410, 600, 950, 5780"
Cancer Myeloproliferative Disorders,"50, 410, 600, 950, 5780"
"Cancer Nasopharyngeal,Throat","105, 172, 253, 274, 660, 663, 667, 669, 738, 825, 1013, 1920, 6618, 8768"
Cancer Nasopharyngeal,"70, 320, 620, 850, 5000"
Cancer Nervous System Neoplasms,"40, 250, 650, 930, 2500, 7500"
"Cancer Neuroblastoma,Nerve","878, 1757, 2635, 3513, 4392, 5270, 6148"
Cancer Neuroblastoma,"40, 180, 780, 2500, 7500"
Cancer Neuroblastoma,"40, 780, 2120, 2500, 7500"
"Cancer Non Hodgkins ,Lymph","574, 588, 666, 778, 1078, 1120, 1340, 1744, 3524, 3713"
Cancer Non Hodgkins,"2008, 2004, 2012, 2116, 2128, 3672, 7760"
Cancer Not Killed by Freqs 2008 and 2128,"2180, 2182, 2184"
Cancer Oral,"80, 570"
Cancer Oropharyngeal,"100, 830, 2500"
Cancer Oropharyngeal,"100, 830, 2500"
Cancer Osteosarcoma,"140, 300, 830, 7500"
Cancer Otorhinolaryngologic Neoplasms,"50, 410, 900, 7500"
Cancer Otorhinolaryngologic,"50, 410, 900, 7500"
Cancer Ovarian,"70, 550, 850"
Cancer Pain,"95, 666, 690, 727, 2008, 2127, 3000"
Cancer Pain,"95, 660, 690, 2008, 2720, 3000, 10000"
Cancer Pancreatic,"47, 832, 2084, 2127, 2160, 2182, 2219, 2452, 2876"
Cancer Pancreatic,"545, 547, 556, 600, 625, 650, 660, 690, 784, 787, 1560, 2000, 2008, 2184, 2455, 2489, 2492"
Cancer Pancreatic Exocrine and Islet Cell,"60, 500"
Cancer Paranasal Sinus and Nasal Cavity,"80, 570"
Cancer Parathyroid,"30, 520, 480, 2750, 7500"
Cancer Pheochromocytoma,"60, 490, 730, 3210"
Cancer Pituitary,"100, 520, 7500"
Cancer Plasma Cell Neoplasm,"70, 120, 600, 800, 2500"
Cancer Plasmacytoma,475
Cancer Prostate,"666, 2125, 2128, 2131, 2140, 2145, 3672"
Cancer Prostate,"854, 1840, 2145, 2288"
Cancer Prostate,"130, 570, 830, 2250"
Cancer Rectal,460
Cancer Residual,610
Cancer Respiratory Tract Neoplasms,"100, 550, 730, 870"
Cancer Rhabdomyosarcoma Embryonal Vega,"2586, 4445, 5476"
Cancer Rhabdomyosarcoma,"120, 270, 9330"
Cancer Salivary Gland,"80, 570"
Cancer Sarcoma,"728, 785, 802, 880, 1755, 2005, 3524"
Cancer Sarcoma General,"1755, 2008, 3524"
Cancer Sarcoma,"727, 787, 880, 2000, 2008, 2127"
Cancer Sezary Syndrome,"180, 300, 2330"
Cancer Sezary Syndrome,"300, 2120, 2330"
Cancer Skin,"480, 666, 1800, 2008, 2125, 2128, 2131, 2140, 2145, 3672, 6130, 6601, 6672"
Cancer Skin,"150, 180"
Cancer Small Intestine,"50, 520, 600, 930"
Cancer Squamous Cell Carcinoma,"150, 2120"
Cancer Stomach,"660, 676, 690, 880, 2167, 2950"
Cancer Stomach,"347, 352, 676, 695, 705, 728, 880, 2167, 2779, 2819, 2950"
Cancer Stomach,"695, 705, 728, 880, 2167, 2779, 2819, 2950"
Cancer Stomach,"676, 728, 880, 2167, 2950"
Cancer Stomach,"30, 180, 2500"
Cancer Stomach,"30, 2120, 2500"
Cancer T Cell,"222, 262, 822, 3042, 3734"
Cancer Tertiary,"20, 50, 383, 421, 965"
Cancer Testicular,"40, 550, 7250"
Cancer Thoracic Neoplasms,"10, 400, 600, 7250"
Cancer Thoracic,"40, 400, 600, 7250"
Cancer Throat Tumor,128
Cancer Throat Tumor,"1604, 2876, 3713"
Cancer Thymoma Malignant,"20, 220"
Cancer Thymoma,"20, 220"
Cancer Thyroid,"130, 570"
Cancer Tonsil,"80, 120"
Cancer Tonsil,"80, 120"
Cancer Trophoblastic Neoplasms,"130, 7500"
Cancer Trophoblastic,"130, 7500"
Cancer Urethral,"30, 2750, 7500"
Cancer Urinary Bladder Neoplasms,"80, 5750, 7250"
Cancer Urologic Neoplasms,"30, 460, 750, 850, 2500, 7500"
Cancer Uterine Cervical Neoplasms,"10, 400, 780, 5290, 7500"
Cancer Uterine Fermentative,127
Cancer Uterine Sarcoma,"10, 400, 780, 5290, 7500"
Cancer Uterine,"127, 443, 1800, 2288"
Cancer Vulvar,"30, 460"
Cancer Wilms' Tumor,"50, 530"
Cancer,"20, 440, 663, 778, 1050, 1550, 2180, 3672"
Cancer,2400
Cancer,"40, 400, 780, 5290, 7500"
Cancer,"100, 610, 7670"
Cancer,"120, 270, 9330"
Cancer,"60, 180, 980, 6050"
Cancrum Oris,"20, 660, 690, 787, 802, 880, 1550"
"Cancrum Oris,Face","20, 727, 787, 802, 880"
Candida,"20, 64, 95, 120, 381, 386, 414, 450, 464, 465, 661, 742, 762, 866, 877, 886, 943, 1151, 1403, 2644, 3176"
Candida,"20, 60, 95, 125, 225, 427, 464, 727"
Candida,"20, 60, 95, 125, 225, 427, 464, 465, 675, 709, 727, 1403, 2128, 2128, 2167"
Candida Albicans,"464, 465, 841"
Candida Albicans,"79, 414, 956"
Candida Albicans,"72, 412, 422, 543, 582, 727, 787, 802, 1016, 1134, 1153, 1550, 2222"
Candida Albicans,"412, 414, 464, 8146"
Candida Albicans,"20, 152, 225, 240, 427, 442, 650, 688, 751, 880, 1146, 8146"
Candida Albicans,"464, 465, 841"
Candida Albicans,"188, 250, 464, 465, 841, 1507, 3015"
Candida Albicans,414
Candida and Organ Support,1200
Candida Carcinomas,"465, 2128, 2167, 2182"
Candida HiPower,8146
Candida LoPower,412
Candida Secondary,"72, 412, 422, 543, 582, 727, 787, 802, 1016, 1134, 1153, 1550, 2128, 2222"
Candida Tertiary,"20, 60, 95, 125, 152, 225, 240, 427, 442, 650, 688, 751, 880, 1146, 8146"
Candida Tropicalis,"233, 344, 438, 510, 776, 943"
Candida Tropicalis,"675, 709, 1403"
Candida Tropicalis,1403
Candida,866
Candida,4640
Candida,"180, 930, 2500"
Candidiasis Vulvovaginal,"150, 180, 930, 3780"
Candidiasis Vulvovaginal,"180, 930, 3780"
Candidiasis,"150, 180, 930, 2500"
Canine Mutant Strain,"323, 514"
Canine Parvo B,"323, 535, 755"
Canine Parvo Mutant,323
Canine Parvo,"323, 562, 622, 4027"
Canine Parvovirus Mutant Strain,"323, 514"
Canine Parvovirus Type B,"323, 535, 613, 755, 761, 764, 766, 768"
Canine Parvovirus,"185, 188, 323, 428, 433, 562, 613, 622, 1000, 4027"
Canker Sore,"246, 322, 339, 342"
Canker Sore,"1901, 1902, 1903, 1904, 1905, 1906, 1907"
Canker Sore,"234, 278, 465, 568, 672, 677, 702, 787"
Canker Sore,"478, 487, 498, 788, 955, 982, 1902, 1904, 1906"
Canker,"478, 487, 498, 788, 955, 982"
Capgras Syndrome,"80, 120, 850"
Capgras Syndrome,"80, 120, 850"
Capillaria Hepatica (Liver Sect),3600
Carbo Animalis,444
Carbohydrate-Deficient Glycoprotein Syndrome,"30, 180, 600"
Carbohydrate-Deficient Glycoprotein Syndrome,"180, 600"
Carbon,577
Carbuncles,"20, 727, 787, 880, 5000"
Carbuncles,"424, 478, 555, 644, 647, 727, 728, 738, 745, 784, 786, 787, 824, 943, 999, 1050, 7270, 8697"
"Carbuncles,Skin","48, 424, 644, 647, 727, 738, 744, 745, 786, 943, 1050, 8697"
Carcinoid Tumor,"120, 730, 5500, 7500"
Carcinoma,"462, 852, 1582, 2128"
Carcinoma,"666, 690, 727, 787, 880, 2008, 2127, 2128"
Carcinoma Basal Cell,"80, 120, 850, 5160"
Carcinoma Bronchial,"462, 852, 1582"
Carcinoma Colon,656
Carcinoma Liver Fermentative,214
Carcinoma Merkel Cell,"80, 120, 850, 5160"
Carcinoma Non-Small Cell Lung,"60, 180, 970, 5830"
Carcinoma Oat Cell,"30, 460, 750, 850, 2500, 7500"
Carcinoma Skin Basal Cell,"760, 1800, 2280"
Carcinoma Small Cell,"30, 460, 750, 850, 2500, 7500"
Carcinoma Uterine Fermentative,127
Carcinoma,"130, 230, 730, 830, 5120, 7250"
Carcinomatosis,"43, 193"
Cardiac Hypertrophy,"130, 260"
Cardiac Tamponade,"30, 180, 5500"
Cardiomyopathy Congestive,"120, 250"
Cardiomyopathy Dilated,"120, 250"
Cardiomyopathy Hypertrophic,"130, 260"
Cardiomyopathy Restrictive,"120, 260"
Cardiovascular Diseases,"130, 5690, 7250"
Carnitine Disorders,"30, 520, 7500"
Caroli Disease,"60, 520"
Carotid Artery Narrowing,"20, 240, 2750"
Carotid Stenosis,"20, 240, 2750"
"Carpal Tunnel Secondary,Nerve","666, 2008"
Carpal Tunnel Syndrome,"465, 660, 666, 784, 787, 800, 880, 960, 1560, 1840, 1998"
Carpal Tunnel Syndrome,"666, 2008"
Carpal Tunnel Syndrome,"30, 650"
Cartilage and Connective Tissue,1028
Cartilage Diseases,"60, 520"
Curvularia Spirafera,879
Cat Diseases,"30, 240, 700"
Cat Eye Syndrome,"50, 410, 620, 7500"
Cat Scratch Fever,"364, 379, 634, 645, 654, 696, 716, 786, 840, 842, 844, 846, 848, 850, 857, 967, 1518, 6878"
Cat Virus,"364, 379, 645, 654, 786, 840, 841, 842, 843, 844, 845, 847, 848, 849, 857, 946, 967, 6878"
Cataract,"600, 1335, 1552, 1600, 1654, 2110, 2187, 2195, 2211, 9999"
Cataract,"600, 728, 784, 787, 880, 1335, 1552, 1600, 1654, 2110, 2187, 2195, 2211"
Cataract,"30, 292, 600, 1335, 1552, 1600, 1654, 2110, 2187, 2195, 2211, 9999"
Cataract Brunescent,"600, 1335, 2010"
Cataract Brunescent,1335
Cataract Complicated,496
Cataract Complicated,"325, 496, 774, 1830"
Cataract,"728, 784, 787, 800, 880, 10000"
Cataract,"30, 410"
Catarrh,"20, 380, 444, 660, 690, 787, 800, 802, 880, 1550, 1865"
Catarrh,175
"Catarrh,Throat","20, 444, 727, 787, 800, 802, 880, 1550"
Catheterization,"110, 570, 800, 5170"
Cattle Diseases,"120, 550, 850"
Causalgia,"110, 570, 800"
Causticum,"540, 1013"
Cavernitis Fibrous,"40, 570, 620, 950, 7500"
Cavus Deformity,920
Celia Carroll,"576, 973"
Celiac Disease,"120, 550, 850, 2500"
Celiac Disease,"2, 3, 39"
Cell Regeneration,111
"Cells of Leudig,Colon",2500
Cellulitis,"30, 500, 850, 5120, 7250"
Cementoma,"150, 230, 7500"
Centering Frequency,12
Central Cord Syndrome,"100, 500"
Central Core Disease,"180, 540, 2630, 6820"
Central Nervous System Diseases,"30, 500"
Central Nervous System Infections,"30, 500"
Central Nervous System Master,6000
Central Spores (Bacillus Smear),3600
Central Spores (Bacillus Smear),932
Cephalosporium,"481, 3966"
Cephalothecium,"371, 574, 6933"
Cerclage Cervical,"150, 230, 7500"
Cerebellar Ataxia,"100, 830, 2500"
Cerebral Gigantism,"80, 350, 2500"
Cerebral Hemorrhage,"40, 550, 780"
"Cerebral Palsy,Brain","146, 522, 727, 787, 880"
Cerebral Palsy,"60, 320"
CerebroSpinal Trouble,"727, 787, 880, 10000"
Cerebrohepatorenal Syndrome,"160, 570, 780, 930, 2750, 7500"
"Cerebrospinal Conditions,Brain",10000
Cerebrovascular Disorders,"80, 250, 700, 850, 7500"
"Cerumen Ear Wax,Ear","311, 320, 720, 750, 984"
Cerumen,320
"Cervical Adenoma,Womb",433
Cervical Gland Lumps,"320, 727, 787, 880, 5000, 10000"
Cervical Cancer,2400
Cervical Inflammation,"20, 60, 72, 95, 125, 660, 690, 740, 787, 790, 880, 5000"
"Cervical Polyp,Womb","277, 288, 867, 687, 744"
"Cervicitis,Womb","20, 727, 787, 880"
Cervix Adenoma,433
Cervix Incompetence,"40, 400, 680, 5090, 7500"
Cesium cs,301
Cestode Infections,"240, 700"
Chaetomium Globosum,"221, 867"
